0.314159	0.000728714
0.346658	0.0283873
0.379158	0.242622
0.411657	0.868515
0.444156	1.84763
0.476655	2.84916
0.509155	3.58158
0.541654	3.9435
0.574153	3.97904
0.606652	3.78829
0.639152	3.46923
0.671651	3.09571
0.70415	2.7155
0.736649	2.35583
0.769149	2.02992
0.801648	1.74242
0.834147	1.49305
0.866646	1.27906
0.899145	1.09662
0.931645	0.941659
0.964144	0.810257
0.996643	0.698867
1.02914	0.604377
1.06164	0.524113
1.09414	0.455804
1.12664	0.397541
1.15914	0.347723
1.19164	0.305014
1.22414	0.268302
1.25664	0.236657
